label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
0	65 kg	-0.1171 N	basketball	Robotics Engineering	1246	1148	San Diego, Modesto, Oakland	-787 m^2	0.8772	-443
4	1823 kg	-0.2126 N	ice hockey	Electrical Engineering	1926	1276	Fremont, Long Beach	-71 m^2	0.0018	1121
2	451 kg	1.0535 N	track & field	Computer Science	1254	1420	Irvine	1151 m^2	0.6181	133
3	-34 kg	-0.3957 N	boxing	Natural Language Processing, Applied Mathematics, Computer Game Design, Statistics	105	1608	Santa Ana, Anaheim, San Jose	207 m^2	-0.2901	1660
3	-395 kg	-0.3021 N	badminton	Computer Game Design, Statistics	1591	276	San Jose, Santa Ana	136 m^2	0.2208	326
4	-268 kg	1.3199 N	?	Computational Media	2714	-770	San Francisco, Fremont, Fresno	2035 m^2	0.0702	1131
1	712 kg	1.4774 N	football	Human Computer Interaction	-1353	1494	Riverside, Moreno Valley, Chula Vista	278 m^2	0.9092	-76
2	609 kg	0.5497 N	track & field	Data Science, Computer Science	1388	2487	Los Angeles	543 m^2	-0.4914	2429
0	-554 kg	0.8211 N	golf	Biotechnology	581	2445	Sacramento, San Diego	1112 m^2	1.9496	-754
2	-161 kg	-1.1637 N	track & field	Technology and Information Management, Data Science	-185	898	Irvine	1691 m^2	-1.2614	-864
1	None	1.0163 N	badminton	Games and Playable Media	-889	2316	Irvine	-1375 m^2	0.0124	1537
2	1571 kg	N/A	track & field	Technology and Information Management	226	653	Los Angeles	207 m^2	-0.6038	1299
4	-1377 kg	0.2631 N	soccer	Computational Media	-1067	157	San Francisco	-474 m^2	1.439	523
4	546 kg	-0.183 N	ice hockey	Computational Media	2204	1307	Fresno, San Francisco, Fremont, San Bernardino	2536 m^2	2.3875	-147
0	876 kg	1.5379 N	VOLLEYBALL	Biotechnology	-43	367	Modesto, Oakland	815 m^2	1.414	-997
4	-492 kg	0.418 N	soccer	Computational Media	387	373	San Bernardino, Fresno	-530 m^2	0.9266	602
4	1605 kg	0.3805 N	ice hockey	Electrical Engineering	2663	1244	Fresno, San Bernardino	46 m^2	0.2981	1504
1	2229 kg	0.8559 N	football	Bioinformatics, Games and Playable Media	-1645	1628	Riverside, Chula Vista, Stockton, Moreno Valley	439 m^2	0.4009	1175
0	285 kg	0.5676 N	baseball	Biotechnology	822	1904	Sacramento	-579 m^2	1.3195	-986
0	1020 kg	0.0979 N	golf	Biotechnology	635	301	San Diego	35 m^2	0.2067	1273
3	371 kg	-0.5368 N	boxing	Computer Science	120	1367	Santa Clarita, San Jose	-882 m^2	-1.2306	1598
3	1326 kg	0.5429 N	boxing	Natural Language Processing, Statistics	-364	2007	Los Angeles	-92 m^2	1.757	597
4	989 kg	1.454 N	running	Electrical Engineering	1033	1388	San Bernardino, Fresno, San Francisco	565 m^2	0.1993	343
4	82 kg	0.8103 N	ice hockey	Electrical Engineering	749	2093	San Francisco, Fresno, Fremont, Long Beach	1816 m^2	1.2417	1167
4	1464 kg	0.3406 N	ice hockey	Electrical Engineering	-144	-703	Sacramento	236 m^2	0.7126	820
4	1564 kg	1.1833 N	motor sports	Electrical Engineering	1751	2543	Fresno, San Bernardino, Long Beach	865 m^2	0.2966	-413
4	1483 kg	0.7391 N	running	Electrical Engineering	450	2210	Fremont, San Francisco, Long Beach	491 m^2	1.1701	389
0	370 kg	0.6071 N	golf	Biotechnology	1653	-765	Oakland, Sacramento, San Diego	416 m^2	0.6415	576
4	1010 kg	0.9392 N	football	Electrical Engineering	820	1234	Long Beach, Fremont, San Francisco, San Bernardino	747 m^2	-1.0702	1239
2	841 kg	-0.3643 N	track & field	Technology and Information Management, Computer Science	808	933	Irvine	1532 m^2	-0.1438	12
4	1245 kg	0.6056 N	football	Applied Mathematics, Computer Game Design, Natural Language Processing, Statistics	1325	42	Fremont, Long Beach	-564 m^2	2.0099	-190
2	905 kg	-0.6038 N	track & field	Data Science	2502	11	Los Angeles	-301 m^2	0.4134	692
1	993 kg	0.8209 N	football	Games and Playable Media, Bioinformatics	548	801	Stockton	1457 m^2	0.4212	1079
4	32 kg	-0.3867 N	motor sports	Computational Media	-800	-244	Fresno, Long Beach	-889 m^2	0.3902	924
4	586 kg	0.3695 N	motor sports	Computational Media	-97	3428	Fresno, Long Beach, San Francisco, Fremont	189 m^2	0.7623	110
4	515 kg	-1.0193 N	boxing	COMPUTATIONAL MEDIA	577	464	Anaheim, San Jose	307 m^2	1.0135	-488
0	80 kg	0.1046 N	baseball	Computer Engineering, Robotics Engineering		116	Oakland	927 m^2	0.8241	496
2	-128 kg	0.5151 N	track & field	cOMPUTER sCIENCE, tECHNOLOGY AND iNFORMATION mANAGEMENT	1532	1007	Riverside, Moreno Valley	-361 m^2	-0.0248	-411
2	1525 kg	-0.7208 N	boxing	Technology and Information Management	969	1039	San Bernardino, Fremont, Fresno	514 m^2	0.3796	2225
4	762 kg	0.3208 N	RUNNING	Computational Media	1334	1393	San Bernardino, Long Beach, San Francisco	1236 m^2	0.8863	-120
4	276 kg	-1.5058 N	running	Computational Media	-10	-972	San Bernardino, Long Beach	-677 m^2	0.3391	-71
3	520 kg	-0.4405 N	boxing	Applied Mathematics	1127	435	Anaheim, Santa Clarita	377 m^2	-0.0731	495
0	1157 kg	1.8499 N	basketball	Computer Engineering	-33	1111	Sacramento	402 m^2	1.9197	641
3	147 kg	0.5374 N	boxing	Bioinformatics, Human Computer Interaction	286	885	Santa Clarita, Santa Ana, Anaheim	2751 m^2	-1.0203	1376
1	179 kg	0.789 N	football	Bioinformatics, Human Computer Interaction	882	1050	Moreno Valley	-287 m^2	-0.61	519
0	845 kg	1.3113 N	ice hockey	Biotechnology, Robotics Engineering	1726	2900	Sacramento, Modesto	45 m^2	1.4327	-519
0	187 kg	1.2551 N	tennis	Computer Engineering	-891	853	San Diego, Sacramento, Oakland	2229 m^2	0.754	55
2	990 kg	1.0942 N	track & field	Technology and Information Management, Computer Science	-349	-23	Fresno, Long Beach, Fremont, San Francisco	780 m^2	0.0359	872
0	1773 kg	-0.7295 N	baseball	COMPUTER ENGINEERING	394	293	Modesto, San Diego, Sacramento	1279 m^2	1.2182	-757
4	1085 kg	1.8771 N	running	Computational Media	1610	-527	Fresno, San Francisco, San Bernardino, Fremont	384 m^2	1.2429	-720
3	398 kg	0.7838 N	TENNIS	Computer Game Design	1252	1676	Santa Clarita, Santa Ana, San Jose	680 m^2	-0.3229	1150
1	607 kg	0.2924 N	volleyball	Human Computer Interaction, Games and Playable Media	577	2187	Riverside, Chula Vista, Bakersfield	1185 m^2	-1.2662	789
4	-114 kg	0.8882 N	ice hockey	eLECTRICAL eNGINEERING	-858	1957	Los Angeles	-62 m^2	0.5442	539
1	387 kg	0.4201 N	basketball	Games and Playable Media	2811	1062	Stockton, Bakersfield	463 m^2	0.9151	1659
1	1594 kg	0.9846 N	football	Human Computer Interaction	2359	590	mORENO vALLEY, sTOCKTON	1365 m^2	0.3125	-142
2	1069 kg	0.5499 N	?	Technology and Information Management	600	-59	Los Angeles	-832 m^2	-0.4123	154
0	425 kg	0.9966 N	golf	Bioengineering, Applied Mathematics	781	-134	Santa Clarita	1301 m^2	0.526	-1507
0	777 kg	1.1718 N	baseball	Robotics Engineering	512	1291	Sacramento, San Diego, Oakland	1669 m^2	-0.4237	2221
3	626 kg	0.3323 N	badminton	Natural Language Processing, Applied Mathematics, Bioengineering, Statistics	-599	624	San Jose, Santa Clarita, Santa Ana	785 m^2	0.4938	515
3	325 kg	-0.0465 N	football	Bioinformatics	1164	2834	Santa Clarita	-1035 m^2	-1.0632	732
3	-14 kg	1.127 N	badminton	Applied Mathematics, Computer Game Design, Bioengineering, Statistics	418	1261	Anaheim, Santa Ana	1433 m^2	0.5718	1238
0	752 kg	0.8323 N	basketball	Data Science	1606	946	Sacramento	1093 m^2	0.9661	949
2	1829 kg	-0.5165 N	track & field	Technology and Information Management, Data Science	1584	-1087	Los Angeles	23 m^2	-0.1624	541
2	1165 kg	-0.7397 N	ice hockey	Technology and Information Management	-838	1606	Los Angeles	-1269 m^2	-1.0266	884
3	1112 kg	1.1921 N	boxing	Natural Language Processing	-465	1180	Santa Clarita, Santa Ana, San Jose	461 m^2	0.1541	-10
4	-187 kg	-0.6871 N	ice hockey	Electrical Engineering	554	203	Long Beach	2244 m^2	-0.4778	394
4	1651 kg	1.3796 N	ice hockey	Computational Media	958	655	Fremont, Fresno, Long Beach, San Francisco	-391 m^2	-0.3518	-816
4	749 kg	0.7493 N	baseball	Electrical Engineering	-224	-825	San Francisco, Fremont, Fresno	41 m^2	2.1849	194
2	439 kg	0.854 N	Track & Field	Technology and Information Management, Data Science	2244	-964	Irvine	-734 m^2	0.194	1108
1	862 kg	2.1564 N	football	Bioinformatics, Human Computer Interaction	1117	1283	Chula Vista, Stockton	1919 m^2	0.3761	-545
1	1280 kg	2.0931 N	football	Bioinformatics, Games and Playable Media	-1537	479	Riverside, Moreno Valley, Stockton	1045 m^2	1.0973	1955
0	454 kg	-1.4604 N	basketball	Robotics Engineering, Biotechnology	-342	288	San Diego	2712 m^2	2.2687	1076
1	1484 kg	0.9987 N	volleyball	Human Computer Interaction, Games and Playable Media	331	522	Chula Vista, Stockton, Riverside	-528 m^2	0.8202	1104
0	1336 kg	-0.5401 N	football	Robotics Engineering, Computer Engineering	335	826	sAN dIEGO, oAKLAND	-1185 m^2	0.5203	693
1	1687 kg	0.8601 N	football	Human Computer Interaction, Bioinformatics	-1059	-734	Riverside, Chula Vista	2226 m^2	-0.7431	1445
4	425 kg	-0.0753 N	running	Computational Media	2180	837	San Bernardino, Long Beach, Fremont, Fresno	1041 m^2	1.3125	363
1	567 kg	2.3577 N	volleyball	gAMES AND pLAYABLE mEDIA, bIOINFORMATICS	1108	4201	Santa Clarita, Santa Ana, Anaheim	1997 m^2	1.0444	-642
4	124 kg	-0.6582 N	ice hockey	Electrical Engineering	158	899	Fremont, Long Beach	283 m^2	0.7099	947
3	-159 kg	0.6398 N	badminton	Natural Language Processing	-467	1366	Santa Clarita, Anaheim, San Jose	1227 m^2	-1.0251	3183
2	943 kg	N/A	track & field	Computer Science, Data Science	?	1864	Irvine	-921 m^2	-0.6349	-445
1	1624 kg	0.7119 N	volleyball	n/a	-782	2367	CHULA VISTA, MORENO VALLEY	159 m^2	-2.2048	647
4	n/a	1.8759 N	soccer	Electrical Engineering	2534	1158	Fremont, San Bernardino	-181 m^2	-0.9436	230
4	n/a	-1.2035 N	motor sports	Computational Media	439	802	San Bernardino, San Francisco, Fresno, Long Beach	638 m^2	1.2204	1507
2	2322 kg	1.7171 N	track & field	Computer Science	2238	-997	Santa Ana	997 m^2	0.1099	911
1	1191 kg	0.6622 N	volleyball	Human Computer Interaction	698	-812	Stockton	-998 m^2	0.3039	678
3	203 kg	0.6573 N	boxing	Computer Game Design	864	1845	San Francisco, Long Beach, San Bernardino	1178 m^2	-0.5396	1808
1	185 kg	2.0796 N	football	Bioinformatics	-27	381	Stockton	-320 m^2	0.1418	187
4	718 kg	0.0264 N	ice hockey	Electrical Engineering	371	-104	Long Beach, San Francisco	1034 m^2	0.0945	1495
2	189 kg	0.2372 N	tennis	Data Science	1493	-282	Irvine	878 m^2	1.7713	-97
1	603 kg	1.2416 N	volleyball	Games and Playable Media, Human Computer Interaction	-1518	1410	Moreno Valley, Chula Vista, Stockton, Bakersfield	905 m^2	-0.3892	303
0	571 kg	1.2763 N	baseball	Biotechnology	595	865	Oakland, San Diego	1415 m^2	1.3339	122
3	193 kg	0.6187 N	tennis	Statistics, Applied Mathematics, Computer Game Design	-1768	-803	Santa Clarita, San Jose, Anaheim	-37 m^2	0.9815	801
4	1379 kg	0.4737 N		Computational Media	262	2099	San Francisco, Fremont, San Bernardino, Long Beach	680 m^2	1.2524	696
1	980 kg	1.4024 N	football	Bioinformatics, Games and Playable Media	-925	-49	Bakersfield	634 m^2	-0.9253	1540
1	200 kg	0.8399 N	volleyball	Bioinformatics	228	-197	Bakersfield, Riverside, Stockton	551 m^2	0.7738	1286
0	1967 kg	0.643 N	golf	Computer Engineering, Robotics Engineering	1698	1281	Los Angeles	1620 m^2	0.4879	165
1	773 kg	0.1791 N	Volleyball	Bioinformatics	636	-420	Bakersfield, Stockton, Chula Vista, Moreno Valley	1618 m^2	-0.4184	644
1	733 kg	1.8546 N	volleyball	Games and Playable Media, Bioinformatics	1236	934	cHULA vISTA, bAKERSFIELD, rIVERSIDE	3567 m^2	0.2955	683
4	311 kg	0.5181 N	running	Computational Media	1790	1407	San Bernardino, Long Beach, Fremont, Fresno	50 m^2	0.7687	1262
0	844 kg	1.2705 N	basketball	Robotics Engineering	1042	-947	Irvine	-146 m^2	2.0593	103
1	?	1.6444 N	volleyball	Bioinformatics	-15	2264	Riverside	1759 m^2	-0.0246	-377
2	485 kg	0.5667 N	N/A	Technology and Information Management	-971	510	Irvine	-275 m^2	-0.1414	209
3	-454 kg	-0.351 N	boxing	Computer Game Design, Applied Mathematics, Statistics, Bioengineering	579	1614	Sacramento, Modesto, Oakland	953 m^2	-1.2449	-1426
3	1690 kg	0.4783 N	boxing	Statistics, Applied Mathematics, Natural Language Processing	-1255	1807	San Jose, Santa Ana	795 m^2	0.0997	1635
2	837 kg	-0.1135 N	track & field	Statistics	1440	-351	Irvine	-1493 m^2	0.0901	2149
4	77 kg	2.2551 N	motor sports	Computational Media	1112	1914	Fresno, Fremont, San Francisco	-924 m^2	0.3532	895
1	2003 kg	0.5815 N	volleyball	games and playable media	-636	2834	Bakersfield, Moreno Valley, Stockton	1102 m^2	0.7479	-83
0	673 kg	1.3922 N	baseball	Robotics Engineering	1313	-56	Modesto, Sacramento	76 m^2	1.5167	907
4	713 kg	-0.3125 N	motor sports	Natural Language Processing	1182	3265	San Bernardino, Long Beach	-493 m^2	0.7926	-367
1	908 kg	1.1141 N	volleyball	bioinformatics, games and playable media	-1204	1969	Chula Vista, Moreno Valley	71 m^2	-0.9077	1029
2	1291 kg	0.3014 N	track & field	Technology and Information Management, Data Science	1272	1155	Los Angeles	204 m^2	-0.0739	-742
2	139 kg	0.0631 N	track & field	Technology and Information Management	-546	-825	Los Angeles	784 m^2	0.3821	17
1	1355 kg	1.8121 N	volleyball	Human Computer Interaction	1267	1520	Chula Vista	156 m^2	-0.6759	-104
1	43 kg	0.6442 N	football	Human Computer Interaction	-22	462	Long Beach	1413 m^2	-0.4372	1321
3	758 kg	-0.2808 N	badminton	Applied Mathematics, Statistics, Computer Game Design	-1861	504	Moreno Valley	-104 m^2	1.3382	747
0	2117 kg	1.2028 N	golf	Robotics Engineering	308	166	Oakland, San Diego	459 m^2	1.5349	524
2	769 kg	0.5999 N	track & field	Electrical Engineering	1649	263	Santa Clarita	474 m^2	-1.2135	n/a
0	-158 kg	N/A	golf	Computer Engineering, Robotics Engineering	1383	1731	Sacramento	-992 m^2	1.746	954
4	882 kg	1.5102 N	soccer	Electrical Engineering	1232	-624	Fremont, Long Beach	-245 m^2	0.5167	653
3	1061 kg	-0.9659 N	football	Statistics, Computer Game Design, Bioengineering	1110	1715	Santa Clarita, Santa Ana, San Jose	1510 m^2	0.2585	-597
4	1882 kg	-0.5307 N	soccer	Computational Media	1423	1058	San Francisco, Fresno, Long Beach	1577 m^2	0.1313	763
2	279 kg	-1.0023 N	track & field	Biotechnology	-490	1122	Los Angeles	-497 m^2	-0.4309	NULL
2	2175 kg	-0.2408 N	track & field	Computer Science, Data Science	545	769	Irvine	816 m^2	1.2762	29
4	789 kg	0.9768 N	soccer	Computational Media	-81	766	San Francisco, Long Beach	126 m^2	0.053	298
3	731 kg	1.8826 N	tennis	Applied Mathematics, Natural Language Processing, Computer Game Design, Bioengineering	2231	987	Irvine	303 m^2	-0.8517	1435
2	399 kg	-0.4098 N	track & field	Computer Science	1893	2525	Irvine	725 m^2	-0.5585	1383
1	1178 kg		football	Human Computer Interaction	-477	954	Moreno Valley, Stockton	-456 m^2	0.2764	435
3	-231 kg	0.9667 N	tennis	Applied Mathematics	97	-82	Santa Clarita	804 m^2	0.1495	-1457
0	134 kg	0.6567 N	ice hockey	Robotics Engineering, Biotechnology	954	649	Sacramento, San Diego	-627 m^2	0.7589	-344
2	1535 kg	0.2838 N	track & field	Data Science	None	-151	Irvine	174 m^2	1.1673	1710
0	383 kg	0.9041 N	golf	Robotics Engineering, Computer Engineering	1220	77	Modesto, San Diego, Oakland	1219 m^2	1.1527	712
0	861 kg	1.6496 N	basketball	Biotechnology	2473	-217	Modesto, Oakland, Sacramento	700 m^2	-0.3834	898
4	-35 kg	-0.7967 N	soccer	Computational Media	1655	188	Sacramento, San Diego	1536 m^2	-1.2338	-107
0	-276 kg	1.0458 N	volleyball	Robotics Engineering	1167	901	San Diego, Sacramento, Modesto	692 m^2	0.7572	1215
3	-267 kg	-0.8577 N	boxing	Computer Science	1549	1928	Anaheim, Santa Ana	1727 m^2	1.1056	1579
2	221 kg	1.2612 N	track & field	Computational Media	800	-1307	Irvine	2721 m^2	1.5108	445
1	-1305 kg	0.3844 N	volleyball	Games and Playable Media, Bioinformatics	1249	677	Moreno Valley, Riverside, Bakersfield	503 m^2	0.0714	-14
4	1499 kg	0.6525 N	running	Computational Media	782	127	Fresno	694 m^2	-0.2753	-172
2	1541 kg	1.6561 N	track & field	Bioengineering, Statistics	1605	-33	Fremont, Fresno, Long Beach, San Bernardino	-49 m^2	-0.013	3252
3	755 kg	-0.6265 N	boxing	Applied Mathematics, Computer Game Design, Statistics	1908	218	San Jose	1504 m^2	-0.0901	489
2	1093 kg	0.9629 N	track & field	Data Science, Computer Science	1931	-72	San Jose, Anaheim, Santa Clarita	-481 m^2	-0.8876	872
1	1658 kg	0.6307 N	motor sports	Bioinformatics	-819	368	Riverside	1016 m^2	-0.5702	-595
0	1173 kg	2.3431 N	golf	Robotics Engineering, Computer Engineering	-12	732	Oakland, Modesto, San Diego	2692 m^2	0.3305	901
2	310 kg	0.7134 N	track & field	Technology and Information Management, Computer Science	453	-503	Santa Ana, Santa Clarita, San Jose	656 m^2	-0.5477	-766
1	526 kg	1.2556 N	football	Games and Playable Media, Bioinformatics	-395	776	cHULA vISTA	1048 m^2	0.8375	1695
0	881 kg	0.035 N	golf	Computer Engineering	2560	891	San Francisco, Long Beach, San Bernardino, Fremont	469 m^2	-0.4731	1138
2	-250 kg	0.4592 N	track & field	Data Science, Computer Science	2154	1355	Irvine	2248 m^2	-0.6615	1622
0	-142 kg	1.5354 N	basketball	Biotechnology, Robotics Engineering	819	767	San Diego, Modesto	461 m^2	0.3346	1010
1	-773 kg	2.069 N	track & field	Bioinformatics, Human Computer Interaction	None	406	Moreno Valley	1099 m^2	-0.4557	2316
0	860 kg	1.4973 N	golf	NULL	-1373	1293	Modesto, Sacramento, Oakland	1041 m^2	0.286	2161
3	1161 kg	1.9134 N	tennis	Statistics	474	1075	Santa Clarita, San Jose, Anaheim	2209 m^2	0.7816	-668
3	1139 kg	?	baseball	Applied Mathematics, Computer Game Design, Statistics	590	814	Santa Clarita, Santa Ana	None	1.1973	1939
0	414 kg	1.6009 N	basketball	Computer Engineering	-575	108	Riverside, Bakersfield	977 m^2	-0.5562	500
3	-551 kg	-1.5607 N	N/A	Bioengineering	1778	2757	Anaheim	1954 m^2	0.9946	-1365
4	1178 kg	1.0179 N	ice hockey	Electrical Engineering	1606	376	San Bernardino, Fresno, Fremont	-314 m^2	0.8819	470
4	1088 kg	-0.6975 N	soccer	Computational Media	1371	987	Long Beach, Fremont, San Francisco	1481 m^2	1.777	1344
0	1991 kg	0.3636 N	basketball	Human Computer Interaction, Bioinformatics	1150	1532	Oakland, Sacramento, San Diego	-986 m^2	1.7048	-1618
1	1463 kg	0.7651 N	volleyball	Bioinformatics, Human Computer Interaction	1333	1647	Chula Vista, Riverside	889 m^2	0.9088	434
0	1317 kg	0.4434 N	tennis	Robotics Engineering	-143	1131	San Diego, Modesto	1357 m^2	-0.0528	-434
1	278 kg	2.2082 N	football	Bioinformatics, Human Computer Interaction	0	-105	Bakersfield, Riverside, Stockton	-16 m^2	0.9123	-220
0	1579 kg	1.0004 N	baseball	Biotechnology	None	577	San Diego	1361 m^2	0.654	889
4	-596 kg	0.1252 N	running	Computational Media	-1755	-553	Long Beach, Fresno, San Bernardino, San Francisco	-1436 m^2	n/a	526
0	141 kg	0.9477 N	BASKETBALL	Robotics Engineering, Computer Engineering	-9	-772	Modesto, San Diego	1709 m^2	0.8443	789
2	58 kg	0.6353 N	track & field	Technology and Information Management	1483	1872	Los Angeles	1562 m^2	-0.8218	-1565
1	851 kg	1.6938 N	football	bIOINFORMATICS	57	1485	Riverside, Moreno Valley	1798 m^2	0.0016	1288
4	1423 kg	-0.0313 N	motor sports	Computational Media	1923	751	San Bernardino, San Francisco, Fresno	464 m^2	0.4351	994
2	432 kg	-2.0475 N	SOCCER	Technology and Information Management	1362	262	San Bernardino, Fremont, Long Beach, Fresno	1869 m^2	-0.1134	172
3	1430 kg	0.6384 N	boxing	Computer Game Design	1623	-74	Santa Ana, Santa Clarita, San Jose	2339 m^2	-0.3126	-990
1	1150 kg	1.1867 N	volleyball	Bioinformatics	-1225	770	Stockton	-204 m^2	-1.1161	88
4	-1326 kg	-1.1226 N	soccer	Computational Media	-1139	1327	Fremont, San Francisco, Fresno	-1258 m^2	0.2239	1399
